Код_региона,ЛогинОО,Класс,Код_предмета,Year,n_students,mean_score,median_score,std_score,min_score,max_score,score_range,high_score_share,low_score_share,skewness,kurtosis,mean_raw_score,std_raw_score,location_type,settlement_size,settlement_name,is_special_school,total_students_oo,jump_to_3,share_near_3,jump_to_4,share_near_4,jump_to_5,share_near_5,max_threshold_jump,max_threshold_share,region_mean,region_std,region_group_count,z_mean_region,context_mean,context_std,context_group_count,z_mean_context,z_mean_final,flag_small_sample,flag_high_mean,flag_low_std,flag_high_min,flag_high_share,flag_threshold_jump,flag_context_extreme,risk_score,profile_type,risk_label
20,sch20106087,4,2,2019,15,0.6266666666666667,0.6,0.09285592184789412,0.5,0.8,0.30000000000000004,0.06666666666666667,0.0,0.5719609969812953,-1.154572749495165,12.533333333333333,1.8571184369578826,2. Город,8. Более 680 тыс. человек,Грозный,0.0,221.0,0.0,0.0,0.4,0.4,0.2,0.3333333333333333,0.4,0.4,0.5498325143511807,0.08856657909897887,501,0.8675298639413275,0.7063766339869281,0.142231598177988,3,-0.5604237619583847,0.8675298639413275,False,False,True,False,False,True,False,3,профиль риска,1
21,sch21113089,4,2,2019,11,0.7772727272727272,0.85,0.09381712472977408,0.6,0.9,0.30000000000000004,0.5454545454545454,0.0,-0.4012491984078404,-1.2433710242676728,15.545454545454545,1.8763424945954812,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,Чурачики,0.0,82.0,0.0,0.0,0.0,0.0,-0.36363636363636365,0.36363636363636365,0.0,0.36363636363636365,0.6345962834934338,0.08427029780247396,397,1.6930810439725874,0.6214065259350023,0.085845808891547,199,1.8156530103250341,1.8156530103250341,False,False,True,True,True,False,False,3,профиль риска,1
21,sch21113114,4,2,2019,20,0.9049999999999999,0.9,0.0687386354243376,0.75,1.0,0.25,0.95,0.0,-0.29557555502864225,-0.5662215503485357,18.1,1.374772708486752,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,Шоршелы,0.0,206.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.6345962834934338,0.08427029780247396,397,3.2087665946117943,0.6214065259350023,0.085845808891547,199,3.303521484936724,3.303521484936724,False,True,True,True,True,False,True,4,профиль риска,1
21,sch21113131,4,2,2019,10,0.58,0.55,0.08426149773176357,0.5,0.75,0.25,0.0,0.0,0.892593528838759,-0.6340011902400291,11.6,1.6852299546352716,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,Кудеиха,0.0,84.0,0.0,0.0,0.7,0.7,-0.1,0.3,0.7,0.7,0.6345962834934338,0.08427029780247396,397,-0.647871016445263,0.6214065259350023,0.085845808891547,199,-0.48233602163750555,-0.48233602163750555,False,False,True,False,False,True,False,3,профиль риска,1
22,sch22123971,4,2,2019,10,0.635,0.775,0.2313547060251855,0.3,0.9,0.6000000000000001,0.5,0.3,-0.46235803044527535,-1.5484664632437013,12.7,4.62709412050371,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,Юдиха,0.0,62.0,0.3,0.3,0.1,0.1,0.4,0.4,0.4,0.4,0.5941410700547436,0.07919965456207442,647,0.5158978302516756,0.5822093101482427,0.08791360632375746,203,0.6004837255492192,0.6004837255492192,False,False,False,False,True,True,False,3,профиль риска,1
22,sch22124215,4,2,2019,99,0.8388888888888889,0.9,0.09116406443451268,0.45,0.9,0.45,0.797979797979798,0.0,-1.938976171200397,3.849592702706026,16.77777777777778,1.8232812886902532,2. Город,6. 100–450 тыс. человек,Бийск,0.0,1344.0,0.0,0.0,0.010101010101010102,0.030303030303030304,0.10101010101010101,0.2222222222222222,0.10101010101010101,0.2222222222222222,0.5941410700547436,0.07919965456207442,647,3.0902637162680926,0.6292656492112599,0.07834974244695093,45,2.675480903074579,2.675480903074579,False,True,True,False,True,False,True,3,профиль риска,1
22,sch22126015,4,2,2019,13,0.7846153846153847,0.8,0.11499935682866194,0.55,1.0,0.44999999999999996,0.5384615384615384,0.0,-0.0008978524323387223,-0.14489587556116135,15.692307692307692,2.2999871365732387,2. Город,7. 450–680 тыс. человек,Барнаул,0.0,189.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.6923076923076923,0.38461538461538464,0.6923076923076923,0.5941410700547436,0.07919965456207442,647,2.404989208776824,0.6214277172227279,0.08237198034673528,48,1.9811065207578749,1.9811065207578749,False,False,False,True,True,True,False,4,профиль риска,1
23,sch23133173,4,2,2019,27,0.8666666666666666,0.85,0.09622504486493763,0.7,1.0,0.30000000000000004,0.7407407407407407,0.0,-0.32216145020780934,-1.0272000000000003,17.333333333333332,1.9245008972987527,2. Город,6. 100–450 тыс. человек,Новвороссийск,0.0,428.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.25925925925925924,0.037037037037037035,0.25925925925925924,0.5985292087159289,0.0810881995002435,1140,3.3067383368147487,0.6411780736912959,0.07748062430233375,70,2.9102578225944793,2.9102578225944793,False,True,True,True,True,False,True,4,профиль риска,1
23,sch23133967,4,2,2019,12,0.7666666666666667,0.8,0.11785113019775792,0.5,0.95,0.44999999999999996,0.5833333333333334,0.0,-0.7452905473706225,0.17400000000000126,15.333333333333334,2.3570226039551585,1. Столица субъекта РФ,8. Более 680 тыс. человек,Краснодар,0.0,140.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.5985292087159289,0.0810881995002435,1140,2.0735132730408323,0.6807068628698086,0.07810481736685564,85,1.10056980727716,1.10056980727716,False,False,False,False,True,True,False,3,профиль риска,1
23,sch23136025,4,2,2019,10,0.745,0.75,0.04716990566028304,0.65,0.8,0.15000000000000002,0.3,0.0,-0.5145158249019611,-0.6345158439591003,14.9,0.9433981132056604,"3. Населенный пункт городского типа (рабочий поселок, поселок городского типа и пр.)",1. Менее 1 тыс. человек,Мезмай,0.0,101.0,0.0,0.0,0.0,0.0,0.4,1.0,0.4,1.0,0.5985292087159289,0.0810881995002435,1140,1.8063145092231492,0.5466485770345775,0.09238007805437311,164,2.1471233532480536,2.1471233532480536,False,True,True,True,False,True,False,4,профиль риска,1
